temp_id,address,countries_scope,lat,lon,name,phone,url
2,"kaptein w. wilhelmsen og frues institute of bacteriologyoslo, norway",NO,,,,,
3,"university of tromsøtromsø, norway",NO,,,faculty of health sciences,,
4,"institute of population-based cancer researchoslo, norway",NO,,,"oslo centre for biostatistics and epidemiology, department of biostatistics, institute of basic medical sciences, university of oslo, oslo, norway and cancer registry of norway",,
5,"institute of population-based cancer researchoslo, norway",NO,,,cancer registry of norway,,
6,"institute of population-based cancer researchoslo, norway",NO,,,cancer registry of norway,,
7,"p.o. box  blindern, 1033, n-0315 oslo, norway",NO,,,"department of chemistry, university of oslo",,
8,"7491, 8905, trondheim, norway",NO,,,"department of public health and general practice, norwegian university of science and technology, post box  medisinsk teknisk forskningssenter",,
9,"central norway health authority, 7500, stjørdal, norway",NO,,,,,
9,"7491, 8905, trondheim, norway",NO,,,"department of public health and general practice, norwegian university of science and technology, post box  medisinsk teknisk forskningssenter",,
10,"7491, 8905, trondheim, norway",NO,,,"department of public health and general practice, norwegian university of science and technology, post box  medisinsk teknisk forskningssenter",,
11,"department of paediatricsakershus university hospital, norway",NO,,,,,
12,"department of clinical biologyhaukeland hospital, norway",NO,,,university of bergen,,
13,"sognsvannsveien 20oslo, norway",NO,,,"section for child neurology, department of paediatrics, rikshospitalet university hospital",,
14,"haukeland university hospital, 5021, bergen, norway",NO,,,"institute of genetic medicine (a.p., c.m.n., h.f.a., h.j.c., s.h.s.p., a.l.m.), newcastle university, newcastle upon tyne ne1 3bz, united kingdom; department of clinical science (b.e.o., e.s.h.), university of bergen,  bergen, norway; and department of medicine (e.s.h.)",,
15,"haukeland university hospital, 5021, bergen, norway",NO,,,"institute of genetic medicine (a.p., c.m.n., h.f.a., h.j.c., s.h.s.p., a.l.m.), newcastle university, newcastle upon tyne ne1 3bz, united kingdom; department of clinical science (b.e.o., e.s.h.), university of bergen,  bergen, norway; and department of medicine (e.s.h.)",,
16,"haukeland university hospital, 5021, bergen, norway",NO,,,"institute of genetic medicine (a.p., c.m.n., h.f.a., h.j.c., s.h.s.p., a.l.m.), newcastle university, newcastle upon tyne ne1 3bz, united kingdom; department of clinical science (b.e.o., e.s.h.), university of bergen,  bergen, norway; and department of medicine (e.s.h.)",,
17,"haukeland university hospital, 5021, bergen, norway",NO,,,"institute of genetic medicine (a.p., c.m.n., h.f.a., h.j.c., s.h.s.p., a.l.m.), newcastle university, newcastle upon tyne ne1 3bz, united kingdom; department of clinical science (b.e.o., e.s.h.), university of bergen,  bergen, norway; and department of medicine (e.s.h.)",,
18,"haukeland university hospital, 5021, bergen, norway",NO,,,"institute of genetic medicine (a.p., c.m.n., h.f.a., h.j.c., s.h.s.p., a.l.m.), newcastle university, newcastle upon tyne ne1 3bz, united kingdom; department of clinical science (b.e.o., e.s.h.), university of bergen,  bergen, norway; and department of medicine (e.s.h.)",,
19,"haukeland university hospital, 5021, bergen, norway",NO,,,"institute of genetic medicine (a.p., c.m.n., h.f.a., h.j.c., s.h.s.p., a.l.m.), newcastle university, newcastle upon tyne ne1 3bz, united kingdom; department of clinical science (b.e.o., e.s.h.), university of bergen,  bergen, norway; and department of medicine (e.s.h.)",,
20,"haukeland university hospital, 5021, bergen, norway",NO,,,"institute of genetic medicine (a.p., c.m.n., h.f.a., h.j.c., s.h.s.p., a.l.m.), newcastle university, newcastle upon tyne ne1 3bz, united kingdom; department of clinical science (b.e.o., e.s.h.), university of bergen,  bergen, norway; and department of medicine (e.s.h.)",,
21,"haukeland university hospital, 5021, bergen, norway",NO,,,"institute of genetic medicine (a.p., c.m.n., h.f.a., h.j.c., s.h.s.p., a.l.m.), newcastle university, newcastle upon tyne ne1 3bz, united kingdom; department of clinical science (b.e.o., e.s.h.), university of bergen,  bergen, norway; and department of medicine (e.s.h.)",,
22,"department of arctic and marine biologyuniversity of tromsø, norway",NO,,,climate laboratory,,
23,"n-0424, 4950, oslo, norway",NO,,,"oslo delirium research group, department of geriatric medicine, oslo university hospital, pb  nydalen",,
24,"university of oslooslo, norway",NO,,,institute of basic medical sciences,,
24,"n-0424, 4950, oslo, norway",NO,,,"oslo delirium research group, department of geriatric medicine, oslo university hospital, pb  nydalen",,
25,"university of oslooslo, norway",NO,,,institute of clinical medicine,,
25,"university of oslooslo, norway",NO,,,institute of clinical medicine,,
26,"oslo university hospitaloslo, norway",NO,,,department of anesthesiology,,
26,"oslo university hospitaloslo, norway",NO,,,department of orthopedic surgery,,
27,"university of oslooslo, norway",NO,,,institute of clinical medicine,,
28,"oslo university hospitaloslo, norway",NO,,,department of obstetrics and gynaecology,,
28,"n-0424, 4950, oslo, norway",NO,,,"oslo delirium research group, department of geriatric medicine, oslo university hospital, pb  nydalen",,
29,"university of oslooslo, norway",NO,,,institute of clinical medicine,,
29,"university of bergenbergen, norway",NO,,,"department of heart disease, haukeland university hospital and department of clinical science",,
30,"department of thoracic medicineuniversity of bergen, norway",NO,,,,,
31,"p.o. box  majorstuen, 5313, 0304 oslo, norway",NO,,,"department of registration, cancer registry of norway, institute of population-based cancer research",,
32,"p.o. box  majorstuen, 5313, 0304 oslo, norway",NO,,,"department of registration, cancer registry of norway, institute of population-based cancer research",,
33,"haukeland university hospital, 5021, bergen, norway",NO,,,department of neurology,,
34,"university of oslooslo, norway",NO,,,"1 institute of health and society, research centre for habilitation and rehabilitation models and services (charm), faculty of medicine",,
35,"university hospital of north norway, 9007, no-9038 tromsø, norway",NO,,,"department of environmental chemistry, nilu-norwegian institute for air research, fram-centre, no- tromsø, norway; department of laboratory medicine",,
36,"oslo university hospital-rikshospitalet, 0372, oslo, norway",NO,,,"centre for immune regulation and department of immunology, university of oslo and oslo university hospital,  oslo, norway; and department of gastroenterology",,
37,"fonna hospital trusthaugesund, norway",NO,,,department of research and innovation,,
38,"university of bergenbergen, norway",NO,,,"department of clinical medicine (k1), faculty of medicine and dentistry",,
38,"fonna hospital trusthaugesund, norway",NO,,,department of research and innovation,,
39,"haukeland university hospitalbergen, norway",NO,,,centre for clinical research,,
40,"fonna hospital trusthaugesund, norway",NO,,,department of research and innovation,,
41,"university of bergenbergen, norway",NO,,,"department of clinical medicine (k1), faculty of medicine and dentistry",,
41,"haukeland university hospitalbergen, norway",NO,,,department of mental health,,
42,"haukeland university hospitalbergen, norway",NO,,,ocd-team,,
42,"medical facultyuniversity of trondheim, norway",NO,,,department of pediatrics,,
43,"norwegian knowledge centre for the health servicesoslo, norway",NO,,,global health unit,,
44,"forskningsveien 1, 0373, oslo, norway",NO,,,sintef industry,,
45,"sandslivn. 90, 5254, sandsli, norway",NO,,,norsk hydro research center,,
46,"centre for organelle research, 4036, stavanger, norway",NO,,,"faculty of science and technology, university of stavanger",,
47,"blindern, 1033, oslo 0315, norway",NO,,,"department of chemistry, university of oslo, p.o. box ",,
48,"institute of general practice and community medicineuniversity of oslo, norway",NO,,,,,
49,"university of oslorikshospitalet, norway",NO,,,institute of clinical biochemistry,,
50,"faculty of health sciencestromso, norway",NO,,,tromso college,,
